MaritalStatus,ApplicationMode,ApplicationOrder,Course,PreviousQualification,PreviousQualificationGrade,MothersQualification,FathersQualification,MothersOccupation,FathersOccupation,AdmissionGrade,Displaced,TuitionFeesUpToDate,Gender,ScholarshipHolder,AgeAtEnrollment,CurricularUnits1stSemEvaluations,CurricularUnits1stSemApproved,CurricularUnits1stSemGrade,CurricularUnits2ndSemEnrolled,CurricularUnits2ndSemEvaluations,CurricularUnits2ndSemApproved,UnemploymentRate,InflationRate,GDP,Target
1,1,1,9853,1,140,19,19,7,7,124.6,1,1,0,0,18,7,6,11.66666667,7,8,6,16.2,0.3,-0.92,Enrolled
1,1,3,171,1,122,1,1,9,8,120.3,0,1,0,1,21,0,0,0,0,0,0,11.1,0.6,2.02,Graduate
1,18,4,9556,1,127,1,38,4,7,121.8,1,1,0,0,20,14,7,11.4375,8,9,8,12.7,3.7,-1.7,Enrolled
1,1,4,9500,1,142,19,19,1,1,125.5,1,1,0,0,18,12,7,12.85714286,8,12,7,12.7,3.7,-1.7,Graduate
1,1,4,9670,1,125,1,38,4,7,114.9,1,1,0,1,19,8,6,13.375,6,7,6,11.1,0.6,2.02,Graduate
1,1,1,9500,1,126,19,19,3,7,123.9,0,1,0,0,19,8,6,13.29666667,8,9,7,11.1,0.6,2.02,Graduate
1,1,1,9238,1,151,19,38,9,9,157,1,1,0,1,18,8,5,11.6,6,12,4,7.6,2.6,0.32,Enrolled
1,17,2,9238,1,115,19,38,7,8,116.4,1,1,0,0,21,9,6,11.375,6,9,6,16.2,0.3,-0.92,Graduate
1,1,1,9085,1,138,19,19,3,3,131,1,1,0,0,18,9,5,12.66666667,5,7,4,9.4,-0.8,-3.12,Enrolled
1,1,1,9147,1,135,19,1,9,9,122.1,1,1,0,0,20,6,5,12,5,6,5,16.2,0.3,-0.92,Graduate
1,17,2,9500,1,127,3,3,1,10,118.8,1,1,1,0,19,9,6,12.93333333,7,7,6,16.2,0.3,-0.92,Enrolled
1,44,1,9003,39,150,4,5,4,2,150,0,1,1,0,21,15,5,11.85714286,6,17,5,16.2,0.3,-0.92,Enrolled
1,51,1,9070,1,125,42,3,125,124,130,1,1,1,0,20,7,6,12.83333333,6,9,4,8.9,1.4,3.51,Graduate
1,1,1,9147,1,143,1,1,4,6,138.8,0,0,1,0,18,9,3,11.33333333,5,8,2,8.9,1.4,3.51,Enrolled
1,18,1,8014,1,138,19,1,9,5,134.5,1,1,0,0,19,6,6,12.66666667,6,8,6,12.4,0.5,1.79,Graduate
1,1,1,9991,1,130,2,37,3,9,131.4,0,1,1,0,34,6,5,12.4,5,9,5,13.9,-0.3,0.79,Graduate
1,39,1,33,1,130,38,37,9,6,102.5,0,0,1,0,37,7,0,0,7,7,1,8.9,1.4,3.51,Dropout
1,39,1,9119,10,133.1,34,37,0,0,128.8,1,1,1,0,43,0,0,0,5,0,0,7.6,2.6,0.32,Dropout
1,43,1,9147,1,140,37,37,6,6,122.9,0,1,0,0,55,10,1,10,5,8,2,16.2,0.3,-0.92,Dropout
4,39,1,9991,1,120,19,19,9,3,113.9,1,1,0,0,39,8,5,11,5,5,5,7.6,2.6,0.32,Graduate
1,44,1,9130,39,120,4,4,3,6,120,0,0,0,0,20,13,3,11.66666667,6,11,3,12.4,0.5,1.79,Dropout
1,1,5,9773,1,126,3,3,2,2,121.1,0,1,0,0,18,6,4,12.75,5,5,0,12.7,3.7,-1.7,Dropout
1,1,2,9147,1,133,3,19,2,7,120.4,1,1,0,0,22,5,5,14.8,5,5,5,8.9,1.4,3.51,Graduate
1,1,6,9500,1,103,1,3,2,2,100.6,1,1,0,0,22,9,5,13.928,8,9,7,11.1,0.6,2.02,Graduate
1,17,1,9773,1,120,1,38,5,5,121.4,0,0,0,0,20,7,4,13,6,7,5,12.4,0.5,1.79,Dropout
1,39,1,9991,1,133.1,37,37,9,9,109.7,0,1,0,0,29,0,0,0,5,0,0,16.2,0.3,-0.92,Dropout
1,17,1,9991,1,154,38,38,4,5,134.1,0,1,0,0,24,9,2,11.5,5,11,3,7.6,2.6,0.32,Enrolled
1,17,2,9238,1,130,19,19,9,9,127.6,1,1,0,0,18,6,6,11.66666667,6,8,5,11.1,0.6,2.02,Graduate
1,17,6,9500,1,132,37,19,7,7,132.4,1,1,0,1,22,8,6,13.51666667,8,9,7,11.1,0.6,2.02,Graduate
1,44,1,8014,39,130,1,19,9,9,133.4,0,1,0,1,21,6,6,11.5,6,7,6,12.4,0.5,1.79,Graduate
1,1,1,9238,1,139,37,38,9,9,126.1,0,1,0,1,19,7,5,12.33333333,6,7,6,12.7,3.7,-1.7,Graduate
1,39,1,9254,1,130,19,38,9,7,113.5,0,1,0,1,24,6,6,13.66666667,6,6,6,12.4,0.5,1.79,Graduate
1,1,1,9500,1,139,37,38,6,6,121.3,1,1,0,1,19,10,6,11.83333333,8,10,6,9.4,-0.8,-3.12,Enrolled
1,1,1,9773,1,127,1,19,7,7,121.8,1,1,0,1,20,11,4,14,6,12,3,9.4,-0.8,-3.12,Enrolled
1,1,3,9130,1,167,37,37,90,90,159.3,0,1,0,0,19,7,5,14.71428571,5,5,5,7.6,2.6,0.32,Graduate
1,39,1,9991,1,130,38,38,9,9,120,0,1,0,0,27,12,5,10.6,5,10,5,9.4,-0.8,-3.12,Dropout
1,1,1,9500,1,130,1,19,5,5,129.1,1,1,0,0,18,9,7,13.04444444,8,10,8,15.5,2.8,-4.06,Graduate
2,7,1,9254,3,130,1,3,4,3,130,0,1,0,0,39,10,0,0,6,6,0,12.4,0.5,1.79,Dropout
1,39,1,9130,40,129,3,3,2,2,155.3,1,1,0,0,27,9,5,13,11,13,10,12.4,0.5,1.79,Dropout
1,17,1,9500,1,141,38,38,7,10,139.8,1,1,0,0,18,8,8,14.935,8,8,8,9.4,-0.8,-3.12,Graduate
1,1,3,171,1,125,38,37,4,9,115.2,1,1,0,0,18,0,0,0,0,0,0,7.6,2.6,0.32,Enrolled
1,1,2,9500,1,125,19,19,9,9,114.9,0,1,0,0,18,8,6,13.13333333,8,12,7,16.2,0.3,-0.92,Graduate
1,44,1,9238,39,130,19,1,9,9,131.9,0,1,0,1,21,7,6,12,6,7,6,13.9,-0.3,0.79,Graduate
1,17,3,171,1,133,1,37,4,7,126,1,1,1,1,19,0,0,0,0,0,0,10.8,1.4,1.74,Enrolled
1,17,1,9070,1,127,1,1,3,4,130.2,1,1,1,0,19,6,5,11.4,6,8,1,10.8,1.4,1.74,Enrolled
1,43,1,9070,1,116,1,1,3,3,120.9,0,1,1,0,24,6,0,0,6,6,0,12.7,3.7,-1.7,Enrolled
4,42,1,9500,19,133.1,1,1,5,5,126,1,1,1,0,29,10,5,11.9,8,10,5,13.9,-0.3,0.79,Dropout
1,1,3,171,1,139,19,19,5,3,128.2,1,1,1,1,19,0,0,0,0,0,0,10.8,1.4,1.74,Graduate
1,44,1,9003,39,130,19,37,9,9,130,1,1,1,0,23,8,6,12.57142857,6,7,6,8.9,1.4,3.51,Graduate
1,1,3,9147,1,125,1,38,7,7,120.1,0,1,1,0,19,8,5,11.2,5,10,4,16.2,0.3,-0.92,Dropout
1,39,1,9254,1,160,19,37,7,10,100,0,1,1,0,26,7,6,12,6,8,5,12.7,3.7,-1.7,Enrolled
1,17,1,9147,1,148,38,37,5,5,134,0,1,1,0,18,9,0,0,5,5,0,7.6,2.6,0.32,Enrolled
1,17,1,9500,1,150,37,19,8,4,130.8,0,1,1,0,24,8,7,11.975,8,8,8,13.9,-0.3,0.79,Graduate
1,1,1,171,1,141,19,19,5,10,135.8,1,1,1,0,19,0,0,0,0,0,0,15.5,2.8,-4.06,Dropout
1,17,4,9254,1,118,38,37,5,7,111.7,1,1,1,0,18,12,3,11.66666667,6,12,1,12.4,0.5,1.79,Dropout
1,1,2,9773,1,142,38,38,9,9,132.9,1,1,1,0,18,8,6,12.33333333,6,11,3,10.8,1.4,1.74,Graduate
1,17,3,9147,1,120,19,19,4,7,115.5,1,1,1,0,18,8,3,10.33333333,5,11,3,10.8,1.4,1.74,Dropout
1,18,4,9254,1,106,19,37,7,7,106,1,1,1,1,21,8,4,10.5,6,11,1,9.4,-0.8,-3.12,Dropout
1,17,4,9773,1,121,1,19,9,8,120.3,1,1,1,1,19,6,6,13.66666667,6,6,6,8.9,1.4,3.51,Graduate
1,17,4,9500,1,150,38,37,9,9,130.8,0,1,1,1,22,7,7,14.84285714,8,9,8,16.2,0.3,-0.92,Graduate
2,39,1,8014,1,120,37,37,9,6,117,0,1,1,0,33,8,6,12,6,6,6,10.8,1.4,1.74,Graduate
1,1,6,9853,1,114,19,19,9,9,110.2,1,1,1,0,20,8,5,12.2,6,7,5,10.8,1.4,1.74,Dropout
1,39,1,9991,2,140,3,3,2,2,155.7,1,1,1,0,35,1,0,0,5,0,0,10.8,1.4,1.74,Dropout
1,39,1,9003,4,160,3,3,4,2,180.4,0,1,1,0,24,17,6,12.16666667,12,14,10,12.4,0.5,1.79,Dropout
1,17,1,9254,1,120,19,19,4,4,125.5,0,1,1,0,18,6,5,12,5,8,3,12.7,3.7,-1.7,Enrolled
2,39,1,8014,1,130,37,37,9,6,110,1,1,0,0,33,7,6,11,6,11,5,9.4,-0.8,-3.12,Graduate
1,42,1,9500,1,160,37,38,9,7,161,1,1,0,1,22,8,7,13.08,8,8,7,10.8,1.4,1.74,Graduate
1,39,1,9670,1,120,1,19,4,5,100,0,1,0,1,25,7,4,10.5,5,7,5,9.4,-0.8,-3.12,Graduate
1,17,1,9070,1,124,19,38,4,0,117.6,1,1,1,0,20,9,6,10.66666667,6,6,5,7.6,2.6,0.32,Graduate
1,1,6,9147,1,143,38,37,9,9,128.7,1,1,1,0,23,6,4,14,5,5,5,11.1,0.6,2.02,Enrolled
1,43,2,9119,1,115,38,19,9,6,112.2,1,1,1,0,18,9,2,10,5,9,0,15.5,2.8,-4.06,Enrolled
1,39,1,9500,1,133.1,1,1,4,10,100.8,0,1,1,0,24,18,0,0,7,7,0,13.9,-0.3,0.79,Dropout
1,17,2,9773,1,133.1,19,1,9,9,105,1,0,0,0,21,6,6,14,6,6,6,8.9,1.4,3.51,Graduate
1,15,1,9130,1,133.1,1,1,4,4,100,0,1,0,0,26,7,2,12,6,6,0,8.9,1.4,3.51,Dropout
2,39,1,9853,10,133.1,37,34,0,0,115.5,0,1,0,0,39,12,3,12.66666667,6,14,0,7.6,2.6,0.32,Dropout
2,39,1,8014,1,133.1,37,19,9,9,114,0,1,0,0,44,11,8,11.875,6,7,6,12.7,3.7,-1.7,Graduate
1,15,1,9119,1,130,38,3,9,2,137,1,1,1,0,19,9,5,14,5,11,3,13.9,-0.3,0.79,Enrolled
1,1,5,9773,1,135,37,1,5,5,124.9,1,1,0,0,18,6,6,13.66666667,6,6,6,8.9,1.4,3.51,Graduate
1,1,5,9500,1,132,37,37,7,7,120.3,1,1,0,1,18,7,7,13.75,8,9,8,12.4,0.5,1.79,Graduate
1,1,1,9085,1,135,1,2,9,1,134.3,1,1,0,0,19,7,5,14.2,5,7,5,12.7,3.7,-1.7,Enrolled
1,1,4,9500,1,115,3,3,2,2,111.5,1,0,0,0,19,10,4,11.96,7,7,0,13.9,-0.3,0.79,Dropout
1,53,1,9085,42,130,38,38,9,9,128.8,0,1,0,0,21,12,8,12.875,9,14,5,8.9,1.4,3.51,Dropout
1,1,4,171,1,133.1,1,1,9,10,110,1,1,0,0,20,0,0,0,0,0,0,16.2,0.3,-0.92,Graduate
2,39,1,8014,1,130,37,37,6,5,113.5,1,1,0,0,36,0,0,0,6,0,0,9.4,-0.8,-3.12,Dropout
4,39,1,9003,12,133.1,37,37,9,6,160,0,1,0,0,43,19,18,14.63157895,13,14,13,15.5,2.8,-4.06,Graduate
1,18,1,9853,1,123,19,19,9,7,117.4,1,1,0,0,19,0,0,0,6,0,0,11.1,0.6,2.02,Dropout
1,51,1,9070,1,130,3,1,2,8,122.2,0,1,0,0,20,12,10,13,11,11,11,11.1,0.6,2.02,Graduate
1,1,2,9238,1,122,37,38,4,7,118.2,1,1,0,0,19,0,0,0,6,0,0,16.2,0.3,-0.92,Dropout
1,1,1,9085,1,113,1,1,4,4,106.7,1,1,0,0,20,15,4,14.2,6,17,4,15.5,2.8,-4.06,Dropout
1,1,5,9500,1,111,3,4,4,3,108.2,1,1,0,0,20,9,6,13.26666667,7,10,5,12.4,0.5,1.79,Dropout
1,17,2,9853,1,133.1,19,1,9,3,107,1,1,0,0,20,12,6,11.66666667,7,10,3,16.2,0.3,-0.92,Enrolled
1,1,1,9238,1,142,37,37,6,7,136.1,1,1,0,0,18,8,6,13.85714286,6,6,6,13.9,-0.3,0.79,Graduate
1,17,2,9147,1,123,1,38,4,7,115.3,1,1,0,1,18,9,3,13,5,11,3,8.9,1.4,3.51,Enrolled
1,1,1,9085,1,131,19,19,9,9,139.8,1,1,0,0,19,6,5,13.4,5,5,5,10.8,1.4,1.74,Graduate
1,1,3,9773,1,158,1,38,4,7,157,1,1,0,0,18,6,6,12.66666667,6,7,6,10.8,1.4,1.74,Graduate
1,17,2,9500,1,122,37,37,9,9,131,1,1,0,0,18,7,6,12.51666667,7,7,6,7.6,2.6,0.32,Dropout
1,43,1,9500,1,130,38,38,9,5,100,0,1,0,0,20,11,6,11.61666667,7,7,7,13.9,-0.3,0.79,Enrolled
1,17,1,9238,1,154,19,37,9,7,140.4,1,1,0,1,20,13,2,10,6,12,4,7.6,2.6,0.32,Enrolled
1,17,1,9147,1,120,19,19,3,3,113.4,0,1,0,0,20,11,3,10.33333333,5,10,3,12.4,0.5,1.79,Enrolled
1,1,2,9085,1,140,37,38,9,7,137,0,1,0,0,18,12,5,13.14285714,5,6,5,9.4,-0.8,-3.12,Graduate
1,1,1,9147,1,127,2,19,4,5,121.8,0,1,0,0,18,5,5,12.6,5,5,5,11.1,0.6,2.02,Graduate
1,17,1,9254,1,133.1,1,1,4,5,131,1,1,0,0,21,12,3,11,6,12,2,9.4,-0.8,-3.12,Dropout
1,1,2,9147,1,120,19,19,9,7,118.6,1,1,0,0,19,8,5,10.8,5,9,4,16.2,0.3,-0.92,Graduate
1,1,1,171,1,137,3,19,2,9,122.3,0,1,0,0,19,0,0,0,0,0,0,10.8,1.4,1.74,Dropout
1,1,1,9670,1,131,38,38,9,9,127.9,0,1,0,1,19,5,5,12.8,5,5,5,9.4,-0.8,-3.12,Graduate
1,1,1,9085,1,130,19,38,4,7,121.3,1,1,0,0,19,15,6,14.16666667,6,13,6,15.5,2.8,-4.06,Graduate
1,17,6,9556,1,122,1,1,4,5,117.1,1,1,0,0,19,12,5,12.1,7,0,0,13.9,-0.3,0.79,Dropout
1,44,1,9085,39,160,37,37,9,9,160,1,1,0,0,20,7,6,14.16666667,6,17,5,12.4,0.5,1.79,Graduate
1,1,1,9853,1,146,19,38,9,3,145.3,1,1,0,1,18,8,5,12.8,6,7,5,9.4,-0.8,-3.12,Enrolled
1,17,3,9238,1,131,1,39,5,3,122.6,1,1,0,0,18,7,6,13,6,6,6,12.4,0.5,1.79,Graduate
1,17,6,9500,1,132,1,37,8,9,128,1,1,0,0,19,7,7,13.46714286,8,9,8,12.4,0.5,1.79,Graduate
1,1,3,9500,1,138,19,19,5,8,124.9,1,1,0,1,18,9,7,13.2375,8,9,7,13.9,-0.3,0.79,Dropout
1,17,2,9070,1,130,37,37,9,9,123.7,1,1,0,0,18,6,6,12.33333333,6,6,6,7.6,2.6,0.32,Graduate
1,1,4,9147,1,126,1,19,4,8,120.1,1,1,0,0,19,7,5,12.4,5,5,5,8.9,1.4,3.51,Graduate
1,17,6,9500,1,148,1,19,3,3,131.7,1,1,0,0,19,8,5,14,7,7,0,13.9,-0.3,0.79,Dropout
1,43,1,9238,1,130,38,37,9,7,133.2,0,1,0,0,20,15,9,11.66666667,7,8,7,7.6,2.6,0.32,Graduate
1,1,1,9670,1,117,1,38,3,9,109.3,0,0,0,1,19,7,5,12,6,9,4,12.4,0.5,1.79,Dropout
1,17,1,9670,1,120,19,19,5,5,113,1,1,0,0,20,7,4,12.2,5,5,4,7.6,2.6,0.32,Graduate
1,1,1,9773,1,153,1,1,141,175,157.9,0,1,0,1,18,6,6,14.83333333,6,6,6,8.9,1.4,3.51,Graduate
1,1,2,9500,1,117,19,1,4,7,112.1,0,1,0,1,20,9,5,13.188,8,9,7,11.1,0.6,2.02,Enrolled
1,18,1,9500,1,178,19,1,4,8,174.7,0,1,0,0,18,8,7,17.125,8,8,8,13.9,-0.3,0.79,Graduate
1,1,5,9500,1,129,37,37,9,9,128.8,1,1,0,0,19,7,6,12.66666667,7,7,6,7.6,2.6,0.32,Graduate
1,1,6,9773,1,116,19,1,4,4,110.1,1,1,0,1,19,8,6,12.66666667,6,10,5,12.4,0.5,1.79,Graduate
1,51,1,9147,1,99,3,1,3,3,99.7,1,0,0,0,22,8,0,0,5,7,0,8.9,1.4,3.51,Enrolled
1,1,3,9238,1,135,1,12,9,10,121,1,1,0,1,19,7,6,11.33333333,6,6,6,12.4,0.5,1.79,Graduate
1,1,3,9500,1,141,19,19,9,7,131.7,1,1,0,1,19,10,7,13.605,8,11,8,15.5,2.8,-4.06,Graduate
1,17,5,9853,1,132,37,38,5,6,119.1,1,1,0,1,19,10,5,12,6,9,5,9.4,-0.8,-3.12,Graduate
1,1,4,9254,1,132,12,19,9,9,124.7,1,1,0,0,19,10,0,0,5,10,0,7.6,2.6,0.32,Dropout
1,17,1,9254,1,113,1,37,9,10,117.2,1,1,0,0,20,8,5,11.2,6,12,3,7.6,2.6,0.32,Dropout
1,1,1,9147,1,134,3,19,2,10,128.8,0,1,0,0,18,10,5,13.375,5,9,5,13.9,-0.3,0.79,Graduate
1,1,1,9500,1,136,1,19,9,9,131.5,0,1,0,1,20,8,6,13.86333333,8,9,7,11.1,0.6,2.02,Graduate
1,1,1,171,1,136,3,37,2,8,121.7,1,1,0,0,18,0,0,0,0,0,0,9.4,-0.8,-3.12,Enrolled
1,1,1,9085,1,129,1,38,4,7,123.4,0,1,0,0,19,6,5,12.4,5,6,5,7.6,2.6,0.32,Graduate
1,17,1,9853,1,138,38,38,7,6,124.7,1,1,0,0,18,11,3,12.33333333,6,10,5,9.4,-0.8,-3.12,Enrolled
1,1,1,9853,1,137,37,37,9,9,132.8,1,1,0,0,18,7,6,13.33333333,6,8,5,7.6,2.6,0.32,Graduate
1,43,1,9853,1,115,3,37,2,5,108.7,1,1,0,0,21,10,3,12.66666667,6,12,3,9.4,-0.8,-3.12,Dropout
1,1,1,9853,1,129,38,37,6,6,138.1,0,1,0,0,19,8,6,12,6,10,4,7.6,2.6,0.32,Dropout
1,1,1,9147,1,131,38,38,9,9,126.5,0,1,0,1,18,5,5,10.6,5,5,5,12.4,0.5,1.79,Graduate
1,17,2,9238,1,133,1,37,7,9,127.4,1,1,0,1,18,8,6,12.25,6,7,6,12.7,3.7,-1.7,Graduate
1,1,3,9238,1,125,19,1,9,10,123.6,1,1,0,0,20,10,4,11,6,9,6,9.4,-0.8,-3.12,Graduate
1,39,1,8014,1,120,1,19,6,8,122,0,1,0,1,24,11,5,11,6,9,5,11.1,0.6,2.02,Graduate
1,1,1,9670,1,128,19,1,4,1,118.2,0,1,0,0,19,6,6,13.16666667,6,9,6,10.8,1.4,1.74,Dropout
1,1,1,9500,1,127,19,37,9,7,123.9,1,1,0,1,18,9,7,12.85555556,8,12,7,15.5,2.8,-4.06,Graduate
1,1,2,9500,1,134,19,19,9,9,125.8,1,1,0,0,18,8,7,14.91875,8,8,8,15.5,2.8,-4.06,Graduate
1,17,5,9853,1,132,12,12,4,4,123.3,1,1,0,0,21,13,4,11.5,6,10,3,10.8,1.4,1.74,Dropout
1,17,2,9670,1,124,1,19,5,4,124.4,0,1,0,0,19,5,5,14.2,5,5,5,7.6,2.6,0.32,Graduate
1,17,1,9773,1,133.1,19,37,7,7,126,0,1,0,1,19,6,6,12.5,6,7,6,15.5,2.8,-4.06,Graduate
3,39,1,9003,1,170,1,37,6,6,170,0,1,0,0,47,1,0,0,6,0,0,8.9,1.4,3.51,Enrolled
1,17,3,9238,1,125,19,19,7,8,121.5,0,1,0,0,19,10,5,11.66666667,6,12,4,13.9,-0.3,0.79,Graduate
1,39,1,9500,3,130,2,2,1,1,130,0,1,0,0,29,8,7,14.25714286,8,8,7,12.7,3.7,-1.7,Graduate
1,43,1,9238,1,125,19,19,4,8,117,1,1,0,0,21,13,3,12,6,12,2,16.2,0.3,-0.92,Dropout
1,39,1,9085,1,130,37,19,9,7,130,1,1,0,0,28,13,4,11.25,5,11,4,12.7,3.7,-1.7,Enrolled
1,17,2,9556,1,133.1,37,37,3,10,108,0,1,0,0,20,8,7,12.45714286,8,8,8,15.5,2.8,-4.06,Graduate
1,17,1,9500,1,131,2,38,4,5,132.3,1,1,0,0,19,7,6,11.68333333,7,7,6,7.6,2.6,0.32,Graduate
1,42,1,8014,1,150,19,2,4,6,148,0,1,0,0,26,10,3,11.66666667,6,8,5,9.4,-0.8,-3.12,Graduate
1,17,2,9254,1,125,37,37,9,8,122.6,1,0,0,0,20,8,4,11.75,6,6,6,11.1,0.6,2.02,Dropout
1,1,1,9670,1,131,37,37,9,9,123,1,1,0,1,18,6,3,11.66666667,5,6,4,7.6,2.6,0.32,Enrolled
1,39,1,9853,1,130,37,19,9,5,102.5,0,1,0,0,27,9,5,13.2,6,10,5,7.6,2.6,0.32,Graduate
1,1,2,9500,1,123,34,34,90,90,113.3,1,1,0,0,20,8,4,11.95,7,8,4,7.6,2.6,0.32,Dropout
1,1,5,9853,1,141,37,19,9,5,133,1,1,0,0,18,8,5,12.4,6,12,5,9.4,-0.8,-3.12,Dropout
1,7,1,9500,3,140,1,1,9,5,140,0,1,0,0,33,8,6,14.35,8,10,6,16.2,0.3,-0.92,Dropout
1,43,1,9853,1,140,3,1,3,3,128.3,1,1,0,0,35,21,21,12.61904762,19,19,19,12.4,0.5,1.79,Graduate
1,44,1,9991,39,140,37,19,9,8,140,0,1,0,1,26,7,6,12.66666667,6,7,6,9.4,-0.8,-3.12,Enrolled
1,39,1,9773,19,133.1,19,19,3,4,104,0,0,0,0,27,6,5,12,6,6,0,11.1,0.6,2.02,Dropout
1,18,3,9070,1,131,1,37,5,5,122.3,1,0,0,0,19,6,6,12.16666667,6,6,0,15.5,2.8,-4.06,Dropout
1,17,2,9254,1,143,1,19,4,6,135,0,1,0,0,20,0,0,0,6,0,0,11.1,0.6,2.02,Dropout
1,18,2,9147,1,132,3,3,5,7,119.1,1,0,0,0,20,9,3,10,5,9,3,10.8,1.4,1.74,Dropout
1,43,1,9238,1,143,1,37,5,9,126.6,0,0,0,0,21,18,8,11.5,6,12,4,9.4,-0.8,-3.12,Enrolled
1,17,3,9500,1,141,38,1,9,4,129,1,1,0,1,18,7,6,13.05,7,7,6,7.6,2.6,0.32,Graduate
1,39,1,9085,1,133.1,1,19,9,9,162.3,1,1,0,0,24,10,2,11,6,6,0,8.9,1.4,3.51,Dropout
1,17,4,9070,1,148,1,3,4,1,163.4,1,1,0,0,20,7,6,11.5,6,6,6,16.2,0.3,-0.92,Graduate
1,1,1,9254,1,125,19,38,9,8,121.5,0,1,0,1,21,7,6,12,6,6,6,13.9,-0.3,0.79,Graduate
1,1,1,8014,1,120,1,37,7,3,122.8,0,1,0,0,23,13,2,10,5,12,1,9.4,-0.8,-3.12,Enrolled
1,39,1,9147,1,140,12,3,4,3,118,1,1,0,0,24,5,0,0,5,5,0,7.6,2.6,0.32,Dropout
1,51,1,9853,1,139,1,1,4,10,134,0,1,0,0,21,0,0,0,6,0,0,12.4,0.5,1.79,Dropout
1,1,4,9500,1,142,38,38,9,8,129.8,1,1,0,0,18,8,7,12.24285714,8,8,7,12.7,3.7,-1.7,Graduate
1,39,1,9991,40,130,19,1,3,4,152,1,1,0,0,27,0,0,0,5,0,0,8.9,1.4,3.51,Dropout
1,18,6,9500,1,126,37,37,5,5,122.8,1,1,0,0,18,8,8,12.93375,8,8,8,9.4,-0.8,-3.12,Graduate
1,7,1,9119,3,150,3,2,2,2,150,0,1,0,0,35,0,0,0,5,0,0,13.9,-0.3,0.79,Dropout
1,1,1,9853,1,130,19,19,3,8,131.8,0,1,0,0,18,9,7,12.57142857,7,8,7,11.1,0.6,2.02,Graduate
1,39,1,9500,1,120,1,3,175,121,105.9,0,1,0,0,35,4,3,11.81666667,3,3,3,11.1,0.6,2.02,Enrolled
1,1,1,9085,1,138,1,1,4,7,132.1,1,1,0,0,19,9,4,13.75,5,13,4,10.8,1.4,1.74,Graduate
1,1,4,9238,1,127,19,19,4,0,127.4,1,1,0,0,20,8,6,11.16666667,6,6,6,7.6,2.6,0.32,Graduate
1,1,4,9500,1,140,19,19,7,7,129.5,1,1,0,0,18,8,7,12.32428571,8,8,7,10.8,1.4,1.74,Graduate
